Mods count: 132
 
jar name                                                                     | mod id (isMCreator)                                      | mixin configs
fabric-loader-0.17.3.jar (modloader)                                         | fabric                                                   | 
3d-placeable-food-3.0.0-fabric-1.21.9-1.21.10.jar                            | placeable_food                                           | 
accessories-fabric-1.4.1-beta+1.21.10.jar                                    | accessories                                              | accessories-fabric.mixins.json, accessories-common.mixins.json
accessorify-2.3.5+1.21.10.jar                                                | accessorify                                              | accessorify.mixins.json
    /META-INF/jars/mixinconstraints-1.1.0.jar                                | com_moulberry_mixinconstraints                           | 
AmbientEnvironment-fabric-1.21.10-27.0.0.2.jar                               | ambientenvironment                                       | ambientenvironment.mixins.json, ambientenvironment.fabric.mixins.json
AmbientSounds_FABRIC_v6.3.1_mc1.21.10.jar                                    | ambientsounds                                            | ambientsounds.mixins.refmap.json, ambientsounds.mixins.json
animalgarden-seaotter-1.1.0-fabric-1.21.10-0.136.0.jar                       | animalgarden_seaotter                                    | animalgarden_seaotter.mixins.json
animalgarden-sugargilder-1.0.0-fabric-1.21.10-0.138.0.jar                    | animalgarden_sugarglider                                 | animalgarden_sugarglider.mixins.json
animalgarden_fennecfox-1.0.0-fabric-1.21.10-0.138.3.jar                      | animalgarden_fennecfox                                   | animalgarden_fennecfox.mixins.json
animalgarden_owl-1.2.7-fabric-1.21.9-0.134.0.jar                             | animalgarden_owl                                         | animalgarden_owl.mixins.json
appleskin-fabric-mc1.21.9-3.0.7.jar                                          | appleskin                                                | appleskin.mixins.json
    /META-INF/jars/cloth-config-fabric-20.0.148-fabric.jar                   | cloth-config                                             | 
        /META-INF/jars/basic-math-0.6.1.jar                                  | cloth-basic-math                                         | 
architectury-18.0.6-fabric.jar                                               | architectury                                             | architectury.mixins.json, architectury-common.mixins.json
AzaleaGrowthControl-v21.10.0+mc1.21.10-Fabric.jar                            | azealeagrowthcontrol                                     | azealeagrowthcontrol.common.mixins.json, azealeagrowthcontrol.fabric.mixins.json
balm-fabric-1.21.10-21.10.8.jar                                              | balm                                                     | balm.mixins.json, balm.fabric.mixins.json
    /META-INF/jars/kuma-api-fabric-21.10.5+1.21.10.jar                       | kuma_api                                                 | kuma_api.fabric.mixins.json, kuma_api.mixins.json
beautifiedchatclient-1.21.10-2.8.jar                                         | beautifiedchatclient                                     | beautifiedchatclient_forge.mixins.json, beautifiedchatclient_neoforge.mixins.json, beautifiedchatclient_fabric.mixins.json
beautify-1.7.0+1.21.9.jar                                                    | beautify                                                 | beautify.mixins.json
BetterAdvancements-Fabric-1.21.10-0.4.7.48.jar                               | betteradvancements                                       | betteradvancements.mixins.json
biolith-fabric-3.4.0.jar                                                     | biolith                                                  | biolith.mixins.json, biolith.fabric.mixins.json
BiomesOPlenty-fabric-1.21.10-21.10.0.3.jar                                   | biomesoplenty                                            | biomesoplenty.mixins.json, biomesoplenty.fabric.mixins.json
    /META-INF/jars/core-3.6.7.jar                                            | com_electronwill_night-config_core                       | 
    /META-INF/jars/toml-3.6.7.jar                                            | com_electronwill_night-config_toml                       | 
    /META-INF/jars/typetools-0.6.3.jar                                       | net_jodah_typetools                                      | 
BridgingMod-2.6.3+1.21.10.fabric-release.jar                                 | bridgingmod                                              | bridgingmod.mixins.json
cardinal-components-api-7.2.0.jar                                            | cardinal-components                                      | 
    /META-INF/jars/cardinal-components-base-7.2.0.jar                        | cardinal-components-base                                 | mixins.cardinal_components_base.json
    /META-INF/jars/cardinal-components-block-7.2.0.jar                       | cardinal-components-block                                | mixins.cardinal_components_block.json
    /META-INF/jars/cardinal-components-chunk-7.2.0.jar                       | cardinal-components-chunk                                | mixins.cardinal_components_chunk.json
    /META-INF/jars/cardinal-components-entity-7.2.0.jar                      | cardinal-components-entity                               | mixins.cardinal_components_entity.json
    /META-INF/jars/cardinal-components-item-7.2.0.jar                        | cardinal-components-item                                 | mixins.cardinal_components_item.json
    /META-INF/jars/cardinal-components-level-7.2.0.jar                       | cardinal-components-level                                | mixins.cardinal_components_level.json
    /META-INF/jars/cardinal-components-scoreboard-7.2.0.jar                  | cardinal-components-scoreboard                           | mixins.cardinal_components_scoreboard.json
    /META-INF/jars/cardinal-components-world-7.2.0.jar                       | cardinal-components-world                                | mixins.cardinal_components_world.json
CatEyes-v7_Fabric-1.21.10.jar                                                | cateyes                                                  | cateyes.mixins.json
chat_heads-1.1.6-fabric-1.21.9.jar                                           | chat_heads                                               | chat_heads.mixins.json, chat_heads.fabric.mixins.json
cherry-monastery-4.12.jar                                                    | mr_cherry_monastery                                      | 
clienttweaks-fabric-1.21.10-21.10.2.jar                                      | clienttweaks                                             | clienttweaks.fabric.mixins.json, clienttweaks.mixins.json
ClimateRivers-v21.10.1+mc1.21.10-Fabric.jar                                  | climaterivers                                            | climaterivers.common.mixins.json, climaterivers.fabric.mixins.json
cloth-config-20.0.149-fabric.jar                                             | cloth-config                                             | 
    /META-INF/jars/basic-math-0.6.1.jar                                      | cloth-basic-math                                         | 
Clumps-fabric-1.21.10-28.0.0.1.jar                                           | clumps                                                   | clumps.mixins.json
collective-1.21.10-8.13.jar                                                  | collective                                               | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_neoforge.mixins.json, collective_forge.mixins.json
comforts-fabric-13.0.1+1.21.10.jar                                           | comforts                                                 | comforts.mixins.json, comforts.fabric.mixins.json
    /META-INF/jars/cardinal-components-base-7.2.0.jar                        | cardinal-components-base                                 | mixins.cardinal_components_base.json
